,Tweets,Time,Username
39,Enter the #PSoCMaker Challenge for a chance to win a trip to #MakerFaire! http://ow.ly/ImLUW  @make @ArrowGlobalpic.twitter.com/AbnzI1B9JP,2/2/2015,CypressSemi
40,"If you can believe it, it's already time to start planning @makerfaire! pic.twitter.com/i7bw0ssXCt",2/24/2015,MattRichardson
41,We are proud to announce that we will host @makerfaire in May! (via @TBArkansas) http://fb.me/4UTNrrFLF ,2/26/2015,ARInnovationHub
42,"On @KATVNews this morning for a big announcement, it's official.. @makerfaire is coming to Central Arkansas! Details soon! @ARInnovationHub",2/26/2015,tinkerguy1
43,Build giant fighting robots with @MegaBotsInc. Win cash & your design shown at #MakerFaire: http://autode.sk/1KFAPax pic.twitter.com/nnEW47iVWr,2/9/2015,autodesk
44,My recent visit to Cairo:  “Not Impossible: The First Maker Faire in Egypt”  https://medium.com/@dalepd/not-impossible-the-first-maker-faire-in-egypt-22c6d81dab8d?source=tw-b3893ce0fee8-1426287513563 … @make @makerfaire,3/13/2015,dalepd
45,It appears the #maker movement and #makerfaire show no signs of slowing anytime soon. And that's great @dalepd @makepic.twitter.com/1Ai8hPJbBU,3/15/2015,Makerspaces_com
46,"@Legere @makerfaire You, Phoebe, are a #Maker and you inspire us! #HatsOff",3/19/2015,LadyFingerNow
47,"I'll be singing & playing with my band on the Shamancycle Solar Stage! Bay Area @makerfaire is in San Mateo,Ca. pic.twitter.com/k0f1o8Dc2p",3/19/2015,Legere
48,We are honored to be invited to exhibit the #Shamancycle at the #familyfriendly Bay Area @makerfaire  May16 &17 pic.twitter.com/EGXIHu5KHn,3/19/2015,Legere
49,We just spoke to the White House!!! @makerfaire in Central Arkansas! Sooo excited! @ARInnovationHub @KATVNews @EASTinitiative @absolut_zer0,3/2/2015,tinkerguy1
50,DIY Backyard Coaster coming to Maker Faire. Can't wait to see #CoasterDad on tonight's show @DailyPlanetShow reveal #makerfaire #MFBA15,3/26/2015,makerfaire
51,Happy 10th Birthday #arduino! Celebrate #ArduinoD15!  #Makerfaire and @arduino growing up together. @mbanzi @tigoepic.twitter.com/kVkBDpX6yp,3/27/2015,SherryHuss
52,#codemotion @GreenVulcano announces new IOT subscription including Middleware platform and IOT enabler: stay tuned! We'll be at #Makerfaire,3/28/2015,GreenVulcano
53,"Makers, crafters, coders and DIYers are all heading to @scienceatlife for the AMAZING @makerfaire_uk show in April...http://www.thecrackmagazine.com/view-editorial/2412 …",3/28/2015,the_Crack
54,"#PiDay, workshops, @makerfaire and more are happening at the #ARhub. Get IN the know: http://conta.cc/1wQuylX  #ARideapic.twitter.com/oxAocVXc2G",3/3/2015,absolut_zer0
55,"I’ve been accepted to exhibit the Shamancycle at  @MakerFaire Bay Area on May 16 & 17, 2015 http://makerfaire.com/ . Come see me there!",3/5/2015,Legere
