,Tweets,Time,Username
0,GeeksでのMaker Faire Bay Area 2014レポートアメリカの現場に行って取材しました。今後アメリカのメイカーズ情報を随時UPするので要チェック。#geeks #makerfairehttp://geeks-keyofmake.com/articles/12 ,12/31/2015,Geeks_KeyOfMake
1,"Happy New Year @julioterra, @onefromme, @BleepBleeps & @makerfaire_uk! #NYE2016pic.twitter.com/kOBgo8FZVO",12/31/2015,Techmog
2,Maker Faire Kansas City Report - Geeks  http://geeks-keyofmake.com/articles/23  #geeks #makerfaire #makerfairekc,1/1/2016,Geeks_KeyOfMake
3,#FF @Kartinca_ru @garavagl5 @alisonjardine @AntonArtCenter @WeirdsvilleD @motorcitystacy @amandalinehan @makerfaire,1/1/2016,MyPositiveION
4,@3DRStreetTeam @bestquads its was the IRIS Makerfaire overflight of people that started my disaffections..,1/1/2016,hotelzululima
5,"Oh, also on the new year's goals list is to exhibit my project at a makerfaire and the local community festival.",1/1/2016,Ascii211
6,"#3dprinting + #StarWars = Brave New Toyworld! @makerfaire  https://twitter.com/makerfaire/status/682297945279082497 …David Jobling added,",1/1/2016,DJobling
7,What will continue to make a big impact on #K12 learning in 2016? Hands-on learning: http://ow.ly/WuARu  @SarahLuchs1 #makerfaire,1/1/2016,NextGenLC
8,@pikotanet 有難う御座いました。またお邪魔しますね。もしMakerFaire東京に当選したら、８月に東京来ます。（夏コミは体力的に無理・・・）,1/1/2016,etcinitd
9,I migliori gadget della #MakerFaire 2015 #nonospite http://goo.gl/soeP1q pic.twitter.com/e1WvHo0B5b,1/1/2016,NotizieVirali
10,"#TheMakerMovement is evolving, expect big things to come #Makerhub #Maker #makerspace #makerfaire",1/11/2016,Maker_Hub
11,I've arrived! So psyched! #FETC #makerspace #makerfaire #edtechpic.twitter.com/Cud67KMdHU,1/11/2016,DerraBanks
12,"RIP #DavidBowie, a Maker with fierce imagination and talent.pic.twitter.com/oHz8EbFshq",1/11/2016,makerfaire
13,"""You just sunk my Copernicium!"" - Why you should play Periodic Table Battleship http://ow.ly/WUfke pic.twitter.com/NWXGy26qmE",1/11/2016,makerfaire
14,Enter our #BeagleBone Green #IoT #contest for a chance 2 win PAID trip 2 MakerFaire Shenzhen!http://bit.ly/1Rpigzz pic.twitter.com/VDFhJFeKiL,1/11/2016,seeedstudio
15,Want to learn/build at RHS's MakerFaire? Fill out!: http://preview.tinyurl.com/ze5fs9c  @GregFarley @RaritanTSA @missOtech @mrsrankl @principalrocket,1/12/2016,A_BildungSROMAN
16,Join the first ever #Beaglebone Green #IoT #contest& win paid trip to #MakerFaire Shenzhen! http://bit.ly/1N47N4D pic.twitter.com/3IUHS3bumc,1/12/2016,seeedstudio
17,Just added @MakerFaireRome @makerfaire_uk @MkeMakerFaire @MakeMunich @MakerFaireParis to our list of 2016 events: http://buff.ly/1PBaWx5 ,1/2/2016,3Dprintbeginner
18,Google Glass 2.0: First Look http://on.wsj.com/1mgYnh5  The 2016 Utilikilt for the San Mateo @MakerFaire crowd is here. A supermodel-free zone.,1/2/2016,ultan
19,Creepiest project award?  CHIPpy Ruxpin has something to say about that...@makerfaire @make @telariumpic.twitter.com/p654jTvHc2,1/20/2016,nextthingco
20,"so proud of Ss projects this #makerfaire,lamp is made from plastic spoons. @gcouros @PacHeights36 @mrsfadum #tbtpic.twitter.com/FwVUK8hfSF",1/21/2016,unruh_j
21,Thanks @CalebKraft for covering the first #MakerFaire Global Producers Summit http://ow.ly/XvrvL  pic.twitter.com/m383HjBYsx #MFGlobal16,1/25/2016,sannmer
22,MT @SCTechBeat: Makers! @scmakerfaire mini #MakerFaire 4/16http://www.santacruztechbeat.com/2016/01/28/santa-cruz-mini-maker-faire/ …#SantaCruzTech @GatewayHOSpic.twitter.com/I0v3JYdZSW,1/28/2016,MBARI_News
23,We're really excited to be part of @makerfairemiami #Maker Talks hosted by @ShapeMiami on Feb 20! #MakerFaire #Miamipic.twitter.com/ABBASMOIgd,1/28/2016,PosiblMedia
24,What are your New Year's Resolutions #NoVAedchat? Come join us to share yours! @makerfaire @codeorg #PBL @EdcampUSApic.twitter.com/Yvx9ZiAEv7,1/3/2016,NoVAEdChat
25,"2016: @sxsw speaking twice, @FITC Toronto, @makerfaire Austin, 1st cruise Star Wars! A Prediction: http://goo.gl/Yus7SY  More to come!",1/4/2016,jaredrawk
26,"NEWS - @Anne_Hidalgo soutient la @MakerFaireParis 2016 #mfp16 #makerfaire  https://twitter.com/nicolas_barrial/status/684808561415876609 …Makery added,",1/6/2016,makeryfr
27,Very cool @BNBuzz Barnes & Noble Celebrating Educator Appreciation Days by Giving Away Free MakerSpace http://3dprint.com/114142/barnes-noble-makerspace/ …  #makerfaire,1/7/2016,SherryHuss
28,Infographic | The Rise of #MakerEd http://gettingsmart.com/2015/11/infographic-the-rise-of-maker-ed/ … @getting_smart @littlebits #makerfaire #maker #stempic.twitter.com/hFrOwTHjKX,1/7/2016,CarriSchneider
