,Tweets,Time,Username
39,RT @tomvanvu: T-minus 25 days til @makerfaire in San Mateo. What is Maker? #MakerMovement #Embedded #Creative #Education #Tech...,4/21/2014,makerfaire
40,MakerFaire Rome: the european call for makers is online! Join us http://bit.ly/1ibUD6d ,4/22/2014,arduino
41,We'll be holding our annual meetup at @makerfaire_uk on Friday. Drop by if you're interested in hackerspaces!https://groups.google.com/d/msg/uk-hackspaces/XS283rsHTGo/JtQLYMlzF_AJ …,4/22/2014,ukhackspaces
42,This is the Jinqiao Mini Maker Faire you are looking for @make @JinqiaoMakers #make #makerfaire pic.twitter.com/rhwHtyLA7K,4/25/2014,jenniferchapman
43,"MakerFaire embodies DIY culture, Shenzhen is the world centre of mass manufacture: what happens when they meet? By mehttp://www.theguardian.com/science/political-science/2014/apr/24/making-in-china-maker-faire-shenzhen-global-politics-maker-movement?view=desktop …",4/25/2014,gsvoss
44,"Prototype of the Olympic texting game for @makerfaire using @arduino, @XBeeWireless powered by @atmel and @sparkfunpic.twitter.com/nW5juXd5NW",4/26/2014,Qtechknow
45,Was soldering for 1st time in 15 yrs thanks to @maltman23 @makerfaire_uk (notice it's not pink!) Highly recommended!pic.twitter.com/OEEamsYxvF,4/26/2014,ChiOnwurah
46,The third event we're at today: Westport mini #makerfaire in CT. Come find out what #3dprinting means for you!pic.twitter.com/hY5anNH3CS,4/26/2014,shapeways
47,My stall for @shapeways today at @makerfaire_uk had a lot of attention!pic.twitter.com/Zj87i8r14m,4/26/2014,steventgray
48,Meet giant eco-robot Binbot this weekend at @makerfaire_uk at @scienceatlife -  http://dailym.ai/1fiFsh3  #makerfaireukpic.twitter.com/yJwLNny6yJ,4/26/2014,northnews
49,"Up next @makerfaire_uk, excited for @doctorow talk on the main stage.#makerfaireuk #makerfaire pic.twitter.com/VixyYc0ztd",4/26/2014,CandaceKuss
50,Congratulations to @scienceatlife & @makerfaire_uk on a fantastic Maker Faire so pleased to have been involved as a volunteer #makerfaireuk,4/27/2014,devinedruid
51,"…and that’s a wrap for @makerfaire_uk, http://makezine.com/2014/04/27/the-maker-faire-uk-roundup/ …. See you all next year! #makerfaire #makerfaireukpic.twitter.com/7GV0SXR8fG",4/27/2014,aallan
52,@jonty 's highlight of the @makerfaire_uk  weekendpic.twitter.com/hOLx9uCaWf,4/27/2014,MarkMellors
53,"#inspired at @makerfaire_uk , where else could you go to see a fire breathing dragon, fibre optic floor tiles and stormtroopers?",4/27/2014,LoveScienceHQ
54,It's no word of a lie this @makerfaire_uk is the best thing I've ever been to.,4/27/2014,PlayfulLeeds
55,"If you already have a laser, just add sharks, http://makezine.com/2014/04/27/just-add-sharks-to-maker-faire-uk/ …. #makerfaire #makerfaireuk #laserspic.twitter.com/YaCJgpDUtJ",4/27/2014,aallan
56,"We are checking out @makerfaire_uk today, ahead of our own Manchester Mini Maker Faire in July http://www.mosi.org.uk/whats-on/manchester-mini-maker-faire.aspx … #makerfaireuk #MMMF",4/27/2014,McrSciFest
57,That's @globacore's #PaperBoyVR! RT @MakerFaire_TO: Did we say #fitctoronto rocks? This is why (3of?)pic.twitter.com/BWrorBeWC3,4/28/2014,FITC
58,"15 Science Experiments You Can Do With Your Kids http://shar.es/SnkYn  via @sharethis  #DIY, #science #fun #MAKE",4/28/2014,makerfaire
59,"Great news for our Atlanta community! Our Mini Maker Faire is now a full fledged Maker Faire! @makerfaire @dalepd - Thank you, Maker Media!",4/29/2014,jamesfloydkelly
60,Here it is! @N_alomary has written a wonderful overview of last weekend's @makerfaire_uk - http://bit.ly/1hN0fIE pic.twitter.com/6UEk6OxMCN,4/29/2014,MkThingsDoStuff
61,Getting ready for the Shenzhen #MakerFaire at the Hong Kong wearables lab! pic.twitter.com/bNZi5V8R0u,4/4/2014,shahoo
62,@Crowdrooster off to Hong kong and then Shenzhen #MakerFaire to spread Love! @francescoffs @Ale_Rovati,4/4/2014,FrGatti
63,"We've been accepted to exhibit Novena at @MakerFaire Bay Area on 17 and 18 May, 2014. Come see us there. http://makerfaire.com ",4/5/2014,xobs
64,"Get your copy of Adventures in @Raspberry_Pi ready for #makerfaire Bay Area, I’ll be there to sign it for you! http://www.amazon.com/Adventures-Raspberry-Carrie-Anne-Philbin/dp/1118751256/ref=sr_1_1_title_0_main?s=books&ie=UTF8&qid=1399832427&sr=1-1&keywords=adventures+in+raspberry+pi …",5/11/2014,MissPhilbin
65,"From 22k attendees the first year to touching a half-million souls annually at #MakerFaire globally, via @Reuters:http://www.reuters.com/article/2014/05/07/us-technology-makers-idUSBREA450MF20140507 …",5/12/2014,nicknormal
66,Prepping new DJ Synth Sets for #makerfaire 5 days to go! pic.twitter.com/RwMtu36IgQ,5/12/2014,BareConductive
67,"On Saturday @MakerFaire, @Kanjun shows how to empower diverse young techies thru soft circuits http://makerfaire.com/makers/empowering-diverse-young-techies-through-soft-circuits …pic.twitter.com/Z6fjAAVGUg",5/13/2014,thisgirlangie
68,The Power Racing Series season opener takes place @makerfaire Bay Area this weekend! http://bit.ly/1g4skwr pic.twitter.com/Nb9U8dgD8L,5/13/2014,make
69,Download and the official Maker Faire Bay Area Mobile App.  It is ready NOW  ihttp://makerfaire.com/app/  #schedules #makers #maps,5/13/2014,makerfaire
70,So excited to see @AnoukWipprecht at @makerfaire next weekend! http://bit.ly/1gASfXq  |pic.twitter.com/tH0g1XldkG,5/13/2014,lwoods211
71,Come see us @MakerFaire this Sat! -> Girls as makers and hackers: Lessons learned from DIY Girls http://buff.ly/1iIzYam ,5/13/2014,DIYGirls
72,"""We are makers. We make our world."" @dalepd explains the #MakerMovement and his brain child, @MakerFaire: http://buzz.mw/bpxrs_f  #AtmelMakes",5/13/2014,MicrochipMakes
73,"Makers, we're cleared for takeoff! @MakerCon now, @MakerFaire later: http://buzz.mw/bpx7y_l  #MakerWeek (via @MAKE)pic.twitter.com/zFXZzscepq",5/13/2014,MicrochipMakes
74,Universal #3DPrinting Paste Extruder to Launch at @MakerFaire this Weekend http://bit.ly/1mSkZ60  via @3DPrintIndustry @structur3Dprint,5/13/2014,3dprintindustry
75,"We’ve packed @MissPhilbin, @asbradbury & @clivebeale off to California today for the Bay Area #MakerFaire. Jealous. Say hi if you’re there!",5/13/2014,Raspberry_Pi
76,MakerFaire European Edition and Open Hardware Summit next October in Rome! http://bit.ly/1nP0tjT ,5/14/2014,arduino
77,Talk about #wearables... this is an impressive collection! #makercon @makerfaire @grapealopepic.twitter.com/CL6tZ20p8l,5/14/2014,krisztinaholly
78,"#MakerFaire Bay Area is just over one day away and you can experience it in person or online! http://ow.ly/wU1vM  Also, #wehaveablimp.",5/15/2014,Roblox
79,Winner of the @make @SketchUp @ShopBot competition is getting built @makerfaire bay area 2014 pic.twitter.com/CZVfiXlBDO,5/15/2014,Omar_Soubra
80,PREVIEW: @smelissali will show off her innovative wearable gadgetry this weekend at @MakerFaire! pic.twitter.com/Lsce4w0ozn via @Atmel,5/15/2014,Technoport_
81,#MakerFaire in Bay Area pic.twitter.com/dKfQrC0lJ7,5/16/2014,seeedstudio
82,We are here at #MakerFaire Bay Area pic.twitter.com/yiFSD9SEJF,5/16/2014,seeedstudio
83,Late night maker session in the hotel. #MakerFaire pic.twitter.com/3FYXWdaOHd,5/16/2014,JimStLeger
84,"I'll be @makerfaire tomorrow, showing @chibitronics and @novenakosagi. Talk at 10:30AM Saturday on Novena. Looking forward to seeing y'all!",5/16/2014,bunniestudios
85,"It wouldn't be @makerfaire without a little late night, beer fueled, hotel based electronics hacking, right? pic.twitter.com/0W2FsCvr5B",5/16/2014,Chris_Gammell
86,.@EMSL's @1lenore and @MakerSylvia at #MakerFaire posing for another year 4 #metapicture. Check that hair color matchpic.twitter.com/OcX6oOkqkq,5/16/2014,techninja42
87,"...and the winner of the #makerfaire #pitchyourprototype and $5,000 is the smart juggling balls!pic.twitter.com/oDqxMcLM6e",5/16/2014,aallan
88,"Calling all Makers! We’ll be at Maker Faire Bay Area this weekend. Stop by, say hello and explore with us #makerfaire pic.twitter.com/MGk4ExovX6",5/16/2014,intel
89,"RT @CurtMcMillanKC: Laser guns going into position @makerfaire, sci-fi set-up in San Mateo. pic.twitter.com/n6FCWUF0F2",5/16/2014,make
90,Look what we got our hands on! You too can this weekend at @MakerFaire! http://buzz.mw/bpd02_l  #AtmelMakes #Arduinopic.twitter.com/9zppa2y59J,5/16/2014,MicrochipMakes
91,Digital freedom is always DIY. @EFF will show you how this weekend at @MakerFaire Bay Area! https://eff.org/r.ls20 ,5/16/2014,EFF
92,Getting our hack on with @sparkdevices today at Pebble HQ! @makerfaire won't know what hits it this weekend :) pic.twitter.com/tR0CxPkE31,5/16/2014,Pebble
93,3D-printed bot at #makerfaire SF! Setting up @NASA booth.pic.twitter.com/YOpTLVNRy4,5/16/2014,NASAPrize
